bus_phs,vbase,vglm,vdiff
TRIP_LOAD_633_B_H_30_B,1.15920,0.66808,0.49112
TRIP_LOAD_633_B_H_31_B,1.15920,0.66808,0.49112
TRIP_LOAD_633_B_H_32_B,1.15920,0.66808,0.49112
TRIP_LOAD_633_B_H_33_B,1.15920,0.66808,0.49112
TRIP_LOAD_633_B_H_34_B,1.15920,0.66808,0.49112
TRIP_LOAD_633_B_H_35_B,1.15920,0.66808,0.49112
TRIP_LOAD_633_B_H_36_B,1.15920,0.66808,0.49112
TRIP_LOAD_633_B_H_37_B,1.15920,0.66808,0.49112
TRIP_LOAD_633_B_H_38_B,1.15920,0.66808,0.49112
TRIP_LOAD_633_B_H_39_B,1.15920,0.66808,0.49112
TRIP_LOAD_633_B_H_40_B,1.15920,0.66808,0.49112
TRIP_LOAD_645_B_H_1_B,1.15910,0.66798,0.49112
TRIP_LOAD_645_B_H_2_B,1.15910,0.66798,0.49112
TRIP_LOAD_645_B_H_3_B,1.15910,0.66798,0.49112
TRIP_LOAD_645_B_H_4_B,1.15910,0.66798,0.49112
TRIP_LOAD_645_B_H_5_B,1.15910,0.66798,0.49112
TRIP_LOAD_645_B_H_6_B,1.15910,0.66798,0.49112
TRIP_LOAD_645_B_H_7_B,1.15910,0.66798,0.49112
TRIP_LOAD_645_B_H_8_B,1.15910,0.66798,0.49112
TRIP_LOAD_645_B_H_9_B,1.15910,0.66798,0.49112
TRIP_LOAD_645_B_H_10_B,1.15910,0.66798,0.49112
TRIP_LOAD_645_B_H_11_B,1.15910,0.66798,0.49112
TRIP_LOAD_645_B_H_12_B,1.15910,0.66798,0.49112
TRIP_LOAD_645_B_H_13_B,1.15910,0.66798,0.49112
TRIP_LOAD_645_B_H_14_B,1.15910,0.66798,0.49112
TRIP_LOAD_645_B_H_15_B,1.15910,0.66798,0.49112
TRIP_LOAD_645_B_H_16_B,1.15910,0.66798,0.49112
TRIP_LOAD_645_B_H_17_B,1.15910,0.66798,0.49112
TRIP_LOAD_645_B_H_18_B,1.15910,0.66798,0.49112
TRIP_LOAD_645_B_H_19_B,1.15910,0.66798,0.49112
TRIP_LOAD_645_B_H_20_B,1.15910,0.66798,0.49112
TRIP_LOAD_645_B_H_21_B,1.15910,0.66798,0.49112
TRIP_LOAD_645_B_H_22_B,1.15910,0.66798,0.49112
TRIP_LOAD_645_B_H_23_B,1.15910,0.66798,0.49112
TRIP_LOAD_645_B_H_24_B,1.15910,0.66798,0.49112
TRIP_LOAD_645_B_H_25_B,1.15910,0.66798,0.49112
TRIP_LOAD_645_B_H_26_B,1.15910,0.66798,0.49112
TRIP_LOAD_645_B_H_27_B,1.15910,0.66798,0.49112
TRIP_LOAD_645_B_H_28_B,1.15910,0.66798,0.49112
TRIP_LOAD_645_B_H_29_B,1.15910,0.66798,0.49112
TRIP_LOAD_645_B_H_30_B,1.15910,0.66798,0.49112
TRIP_LOAD_645_B_H_31_B,1.15910,0.66798,0.49112
TRIP_LOAD_645_B_H_32_B,1.15910,0.66798,0.49112
TRIP_LOAD_645_B_H_33_B,1.15910,0.66798,0.49112
TRIP_LOAD_645_B_H_34_B,1.15910,0.66798,0.49112
TRIP_LOAD_645_B_H_35_B,1.15910,0.66798,0.49112
TRIP_LOAD_645_B_H_36_B,1.15910,0.66798,0.49112
TRIP_LOAD_645_B_H_37_B,1.15910,0.66798,0.49112
TRIP_LOAD_645_B_H_38_B,1.15910,0.66798,0.49112
TRIP_LOAD_645_B_H_39_B,1.15910,0.66798,0.49112
TRIP_LOAD_645_B_H_40_B,1.15910,0.66798,0.49112
TRIP_LOAD_632_B_H_1_B,1.15920,0.66807,0.49113
TRIP_LOAD_632_B_H_2_B,1.15920,0.66807,0.49113
TRIP_LOAD_632_B_H_3_B,1.15920,0.66807,0.49113
TRIP_LOAD_632_B_H_4_B,1.15920,0.66807,0.49113
TRIP_LOAD_632_B_H_5_B,1.15920,0.66807,0.49113
TRIP_LOAD_632_B_H_6_B,1.15920,0.66807,0.49113
TRIP_LOAD_632_B_H_7_B,1.15920,0.66807,0.49113
TRIP_LOAD_632_B_H_8_B,1.15920,0.66807,0.49113
TRIP_LOAD_632_B_H_9_B,1.15920,0.66807,0.49113
TRIP_LOAD_632_B_H_10_B,1.15920,0.66807,0.49113
TRIP_LOAD_632_B_H_11_B,1.15920,0.66807,0.49113
TRIP_LOAD_632_B_H_12_B,1.15920,0.66807,0.49113
TRIP_LOAD_632_B_H_13_B,1.15920,0.66807,0.49113
TRIP_LOAD_632_B_H_14_B,1.15920,0.66807,0.49113
TRIP_LOAD_632_B_H_15_B,1.15920,0.66807,0.49113
TRIP_LOAD_632_B_H_16_B,1.15920,0.66807,0.49113
TRIP_LOAD_632_B_H_17_B,1.15920,0.66807,0.49113
TRIP_LOAD_632_B_H_18_B,1.15920,0.66807,0.49113
TRIP_LOAD_632_B_H_19_B,1.15920,0.66807,0.49113
TRIP_LOAD_632_B_H_20_B,1.15920,0.66807,0.49113
TRIP_LOAD_632_B_H_21_B,1.15920,0.66807,0.49113
TRIP_LOAD_632_B_H_22_B,1.15920,0.66807,0.49113
TRIP_LOAD_632_B_H_23_B,1.15920,0.66807,0.49113
TRIP_LOAD_632_B_H_24_B,1.15920,0.66807,0.49113
TRIP_LOAD_632_B_H_25_B,1.15920,0.66807,0.49113
TRIP_LOAD_632_B_H_26_B,1.15920,0.66807,0.49113
TRIP_LOAD_632_B_H_27_B,1.15920,0.66807,0.49113
TRIP_LOAD_632_B_H_28_B,1.15920,0.66807,0.49113
TRIP_LOAD_632_B_H_29_B,1.15920,0.66807,0.49113
TRIP_LOAD_632_B_H_30_B,1.15920,0.66807,0.49113
TRIP_LOAD_632_B_H_31_B,1.15920,0.66807,0.49113
TRIP_LOAD_632_B_H_32_B,1.15920,0.66807,0.49113
TRIP_LOAD_632_B_H_33_B,1.15920,0.66807,0.49113
TRIP_LOAD_632_B_H_34_B,1.15920,0.66807,0.49113
TRIP_LOAD_632_B_H_35_B,1.15920,0.66807,0.49113
TRIP_LOAD_632_B_H_36_B,1.15920,0.66807,0.49113
TRIP_LOAD_632_B_H_37_B,1.15920,0.66807,0.49113
TRIP_LOAD_632_B_H_38_B,1.15920,0.66807,0.49113
TRIP_LOAD_632_B_H_39_B,1.15920,0.66807,0.49113
TRIP_LOAD_632_B_H_40_B,1.15920,0.66807,0.49113
TRIP_LOAD_633_B_H_1_A,1.15930,0.66802,0.49128
TRIP_LOAD_633_B_H_2_A,1.15930,0.66802,0.49128
TRIP_LOAD_633_B_H_3_A,1.15930,0.66802,0.49128
TRIP_LOAD_633_B_H_4_A,1.15930,0.66802,0.49128
TRIP_LOAD_633_B_H_5_A,1.15930,0.66802,0.49128
TRIP_LOAD_633_B_H_6_A,1.15930,0.66802,0.49128
TRIP_LOAD_633_B_H_7_A,1.15930,0.66802,0.49128
TRIP_LOAD_633_B_H_8_A,1.15930,0.66802,0.49128
TRIP_LOAD_633_B_H_9_A,1.15930,0.66802,0.49128
TRIP_LOAD_633_B_H_10_A,1.15930,0.66802,0.49128
TRIP_LOAD_633_B_H_11_A,1.15930,0.66802,0.49128
TRIP_LOAD_633_B_H_12_A,1.15930,0.66802,0.49128
TRIP_LOAD_633_B_H_13_A,1.15930,0.66802,0.49128
TRIP_LOAD_633_B_H_14_A,1.15930,0.66802,0.49128
TRIP_LOAD_633_B_H_15_A,1.15930,0.66802,0.49128
TRIP_LOAD_633_B_H_16_A,1.15930,0.66802,0.49128
TRIP_LOAD_633_B_H_17_A,1.15930,0.66802,0.49128
TRIP_LOAD_633_B_H_18_A,1.15930,0.66802,0.49128
TRIP_LOAD_633_B_H_19_A,1.15930,0.66802,0.49128
TRIP_LOAD_633_B_H_20_A,1.15930,0.66802,0.49128
TRIP_LOAD_633_B_H_21_A,1.15930,0.66802,0.49128
TRIP_LOAD_633_B_H_22_A,1.15930,0.66802,0.49128
TRIP_LOAD_633_B_H_23_A,1.15930,0.66802,0.49128
TRIP_LOAD_633_B_H_24_A,1.15930,0.66802,0.49128
TRIP_LOAD_633_B_H_25_A,1.15930,0.66802,0.49128
TRIP_LOAD_633_B_H_26_A,1.15930,0.66802,0.49128
TRIP_LOAD_633_B_H_27_A,1.15930,0.66802,0.49128
TRIP_LOAD_633_B_H_28_A,1.15930,0.66802,0.49128
TRIP_LOAD_633_B_H_29_A,1.15930,0.66802,0.49128
TRIP_LOAD_633_B_H_30_A,1.15930,0.66802,0.49128
TRIP_LOAD_633_B_H_31_A,1.15930,0.66802,0.49128
TRIP_LOAD_633_B_H_32_A,1.15930,0.66802,0.49128
TRIP_LOAD_633_B_H_33_A,1.15930,0.66802,0.49128
TRIP_LOAD_633_B_H_34_A,1.15930,0.66802,0.49128
TRIP_LOAD_633_B_H_35_A,1.15930,0.66802,0.49128
TRIP_LOAD_633_B_H_36_A,1.15930,0.66802,0.49128
TRIP_LOAD_633_B_H_37_A,1.15930,0.66802,0.49128
TRIP_LOAD_633_B_H_38_A,1.15930,0.66802,0.49128
TRIP_LOAD_633_B_H_39_A,1.15930,0.66802,0.49128
TRIP_LOAD_633_B_H_40_A,1.15930,0.66802,0.49128
TRIP_LOAD_645_B_H_1_A,1.15920,0.66791,0.49129
TRIP_LOAD_645_B_H_2_A,1.15920,0.66791,0.49129
TRIP_LOAD_645_B_H_3_A,1.15920,0.66791,0.49129
TRIP_LOAD_645_B_H_4_A,1.15920,0.66791,0.49129
TRIP_LOAD_645_B_H_5_A,1.15920,0.66791,0.49129
TRIP_LOAD_645_B_H_6_A,1.15920,0.66791,0.49129
TRIP_LOAD_645_B_H_7_A,1.15920,0.66791,0.49129
TRIP_LOAD_645_B_H_8_A,1.15920,0.66791,0.49129
TRIP_LOAD_645_B_H_9_A,1.15920,0.66791,0.49129
TRIP_LOAD_645_B_H_10_A,1.15920,0.66791,0.49129
TRIP_LOAD_645_B_H_11_A,1.15920,0.66791,0.49129
TRIP_LOAD_645_B_H_12_A,1.15920,0.66791,0.49129
TRIP_LOAD_645_B_H_13_A,1.15920,0.66791,0.49129
TRIP_LOAD_645_B_H_14_A,1.15920,0.66791,0.49129
TRIP_LOAD_645_B_H_15_A,1.15920,0.66791,0.49129
TRIP_LOAD_645_B_H_16_A,1.15920,0.66791,0.49129
TRIP_LOAD_645_B_H_17_A,1.15920,0.66791,0.49129
TRIP_LOAD_645_B_H_18_A,1.15920,0.66791,0.49129
TRIP_LOAD_645_B_H_19_A,1.15920,0.66791,0.49129
TRIP_LOAD_645_B_H_20_A,1.15920,0.66791,0.49129
TRIP_LOAD_645_B_H_21_A,1.15920,0.66791,0.49129
TRIP_LOAD_645_B_H_22_A,1.15920,0.66791,0.49129
TRIP_LOAD_645_B_H_23_A,1.15920,0.66791,0.49129
TRIP_LOAD_645_B_H_24_A,1.15920,0.66791,0.49129
TRIP_LOAD_645_B_H_25_A,1.15920,0.66791,0.49129
TRIP_LOAD_645_B_H_26_A,1.15920,0.66791,0.49129
TRIP_LOAD_645_B_H_27_A,1.15920,0.66791,0.49129
TRIP_LOAD_645_B_H_28_A,1.15920,0.66791,0.49129
TRIP_LOAD_645_B_H_29_A,1.15920,0.66791,0.49129
TRIP_LOAD_645_B_H_30_A,1.15920,0.66791,0.49129
TRIP_LOAD_645_B_H_31_A,1.15920,0.66791,0.49129
TRIP_LOAD_645_B_H_32_A,1.15920,0.66791,0.49129
TRIP_LOAD_645_B_H_33_A,1.15920,0.66791,0.49129
TRIP_LOAD_645_B_H_34_A,1.15920,0.66791,0.49129
TRIP_LOAD_645_B_H_35_A,1.15920,0.66791,0.49129
TRIP_LOAD_645_B_H_36_A,1.15920,0.66791,0.49129
TRIP_LOAD_645_B_H_37_A,1.15920,0.66791,0.49129
TRIP_LOAD_645_B_H_38_A,1.15920,0.66791,0.49129
TRIP_LOAD_645_B_H_39_A,1.15920,0.66791,0.49129
TRIP_LOAD_645_B_H_40_A,1.15920,0.66791,0.49129
TRIP_LOAD_632_B_H_1_A,1.15930,0.66801,0.49129
TRIP_LOAD_632_B_H_2_A,1.15930,0.66801,0.49129
TRIP_LOAD_632_B_H_3_A,1.15930,0.66801,0.49129
TRIP_LOAD_632_B_H_4_A,1.15930,0.66801,0.49129
TRIP_LOAD_632_B_H_5_A,1.15930,0.66801,0.49129
TRIP_LOAD_632_B_H_6_A,1.15930,0.66801,0.49129
TRIP_LOAD_632_B_H_7_A,1.15930,0.66801,0.49129
TRIP_LOAD_632_B_H_8_A,1.15930,0.66801,0.49129
TRIP_LOAD_632_B_H_9_A,1.15930,0.66801,0.49129
TRIP_LOAD_632_B_H_10_A,1.15930,0.66801,0.49129
TRIP_LOAD_632_B_H_11_A,1.15930,0.66801,0.49129
TRIP_LOAD_632_B_H_12_A,1.15930,0.66801,0.49129
TRIP_LOAD_632_B_H_13_A,1.15930,0.66801,0.49129
TRIP_LOAD_632_B_H_14_A,1.15930,0.66801,0.49129
TRIP_LOAD_632_B_H_15_A,1.15930,0.66801,0.49129
TRIP_LOAD_632_B_H_16_A,1.15930,0.66801,0.49129
TRIP_LOAD_632_B_H_17_A,1.15930,0.66801,0.49129
TRIP_LOAD_632_B_H_18_A,1.15930,0.66801,0.49129
TRIP_LOAD_632_B_H_19_A,1.15930,0.66801,0.49129
TRIP_LOAD_632_B_H_20_A,1.15930,0.66801,0.49129
TRIP_LOAD_632_B_H_21_A,1.15930,0.66801,0.49129
TRIP_LOAD_632_B_H_22_A,1.15930,0.66801,0.49129
TRIP_LOAD_632_B_H_23_A,1.15930,0.66801,0.49129
TRIP_LOAD_632_B_H_24_A,1.15930,0.66801,0.49129
TRIP_LOAD_632_B_H_25_A,1.15930,0.66801,0.49129
TRIP_LOAD_632_B_H_26_A,1.15930,0.66801,0.49129
TRIP_LOAD_632_B_H_27_A,1.15930,0.66801,0.49129
TRIP_LOAD_632_B_H_28_A,1.15930,0.66801,0.49129
TRIP_LOAD_632_B_H_29_A,1.15930,0.66801,0.49129
TRIP_LOAD_632_B_H_30_A,1.15930,0.66801,0.49129
TRIP_LOAD_632_B_H_31_A,1.15930,0.66801,0.49129
TRIP_LOAD_632_B_H_32_A,1.15930,0.66801,0.49129
TRIP_LOAD_632_B_H_33_A,1.15930,0.66801,0.49129
TRIP_LOAD_632_B_H_34_A,1.15930,0.66801,0.49129
TRIP_LOAD_632_B_H_35_A,1.15930,0.66801,0.49129
TRIP_LOAD_632_B_H_36_A,1.15930,0.66801,0.49129
TRIP_LOAD_632_B_H_37_A,1.15930,0.66801,0.49129
TRIP_LOAD_632_B_H_38_A,1.15930,0.66801,0.49129
TRIP_LOAD_632_B_H_39_A,1.15930,0.66801,0.49129
TRIP_LOAD_632_B_H_40_A,1.15930,0.66801,0.49129
TRIP_NODE_633_B_1_A,1.15930,0.66799,0.49131
TRIP_NODE_633_B_2_A,1.15930,0.66799,0.49131
TRIP_NODE_633_B_3_A,1.15930,0.66799,0.49131
TRIP_NODE_633_B_4_A,1.15930,0.66799,0.49131
TRIP_NODE_633_B_5_A,1.15930,0.66799,0.49131
TRIP_NODE_633_B_1_B,1.15930,0.66799,0.49131
TRIP_NODE_633_B_2_B,1.15930,0.66799,0.49131
TRIP_NODE_633_B_3_B,1.15930,0.66799,0.49131
TRIP_NODE_633_B_4_B,1.15930,0.66799,0.49131
TRIP_NODE_633_B_5_B,1.15930,0.66799,0.49131
TRIP_NODE_645_B_1_A,1.15920,0.66788,0.49132
TRIP_NODE_645_B_2_A,1.15920,0.66788,0.49132
TRIP_NODE_645_B_3_A,1.15920,0.66788,0.49132
TRIP_NODE_645_B_4_A,1.15920,0.66788,0.49132
TRIP_NODE_645_B_5_A,1.15920,0.66788,0.49132
TRIP_NODE_645_B_1_B,1.15920,0.66788,0.49132
TRIP_NODE_645_B_2_B,1.15920,0.66788,0.49132
TRIP_NODE_645_B_3_B,1.15920,0.66788,0.49132
TRIP_NODE_645_B_4_B,1.15920,0.66788,0.49132
TRIP_NODE_645_B_5_B,1.15920,0.66788,0.49132
TRIP_NODE_632_B_1_A,1.15930,0.66798,0.49132
TRIP_NODE_632_B_2_A,1.15930,0.66798,0.49132
TRIP_NODE_632_B_3_A,1.15930,0.66798,0.49132
TRIP_NODE_632_B_4_A,1.15930,0.66798,0.49132
TRIP_NODE_632_B_5_A,1.15930,0.66798,0.49132
TRIP_NODE_632_B_1_B,1.15930,0.66798,0.49132
TRIP_NODE_632_B_2_B,1.15930,0.66798,0.49132
TRIP_NODE_632_B_3_B,1.15930,0.66798,0.49132
TRIP_NODE_632_B_4_B,1.15930,0.66798,0.49132
TRIP_NODE_632_B_5_B,1.15930,0.66798,0.49132
N633_B,1.15930,0.66753,0.49177
N646_B,1.15920,0.66742,0.49178
N645_B,1.15920,0.66742,0.49178
N632_B,1.15930,0.66751,0.49179
METER_633_B_B,1.15930,0.66750,0.49180
XFMR_METER_633_B_1_B,1.15930,0.66749,0.49181
XFMR_METER_633_B_2_B,1.15930,0.66749,0.49181
XFMR_METER_633_B_3_B,1.15930,0.66749,0.49181
XFMR_METER_633_B_4_B,1.15930,0.66749,0.49181
XFMR_METER_633_B_5_B,1.15930,0.66749,0.49181
METER_645_B_B,1.15920,0.66739,0.49181
METER_632_B_B,1.15930,0.66749,0.49181
XFMR_METER_645_B_1_B,1.15920,0.66738,0.49182
XFMR_METER_645_B_2_B,1.15920,0.66738,0.49182
XFMR_METER_645_B_3_B,1.15920,0.66738,0.49182
XFMR_METER_645_B_4_B,1.15920,0.66738,0.49182
XFMR_METER_645_B_5_B,1.15920,0.66738,0.49182
XFMR_METER_632_B_1_B,1.15930,0.66748,0.49182
XFMR_METER_632_B_2_B,1.15930,0.66748,0.49182
XFMR_METER_632_B_3_B,1.15930,0.66748,0.49182
XFMR_METER_632_B_4_B,1.15930,0.66748,0.49182
XFMR_METER_632_B_5_B,1.15930,0.66748,0.49182
TRIP_NODE_633_C_1_A,1.16570,0.67370,0.49200
TRIP_NODE_633_C_1_B,1.16570,0.67370,0.49200
TRIP_NODE_633_C_2_A,1.16570,0.67370,0.49200
TRIP_NODE_633_C_2_B,1.16570,0.67370,0.49200
TRIP_NODE_633_C_3_A,1.16570,0.67370,0.49200
TRIP_NODE_633_C_3_B,1.16570,0.67370,0.49200
TRIP_NODE_633_C_4_A,1.16570,0.67370,0.49200
TRIP_NODE_633_C_4_B,1.16570,0.67370,0.49200
TRIP_NODE_633_C_5_A,1.16570,0.67370,0.49200
TRIP_NODE_633_C_5_B,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_1_A,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_1_B,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_2_A,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_2_B,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_3_A,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_3_B,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_4_A,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_4_B,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_5_A,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_5_B,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_6_A,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_6_B,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_7_A,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_7_B,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_8_A,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_8_B,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_9_A,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_9_B,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_10_A,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_10_B,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_11_A,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_11_B,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_12_A,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_12_B,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_13_A,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_13_B,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_14_A,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_14_B,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_15_A,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_15_B,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_16_A,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_16_B,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_17_A,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_17_B,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_18_A,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_18_B,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_19_A,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_19_B,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_20_A,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_20_B,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_21_A,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_21_B,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_22_A,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_22_B,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_23_A,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_23_B,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_24_A,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_24_B,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_25_A,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_25_B,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_26_A,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_26_B,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_27_A,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_27_B,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_28_A,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_28_B,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_29_A,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_29_B,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_30_A,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_30_B,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_31_A,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_31_B,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_32_A,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_32_B,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_33_A,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_33_B,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_34_A,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_34_B,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_35_A,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_35_B,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_36_A,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_36_B,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_37_A,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_37_B,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_38_A,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_38_B,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_39_A,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_39_B,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_40_A,1.16570,0.67370,0.49200
TRIP_LOAD_633_C_H_40_B,1.16570,0.67370,0.49200
TRIP_NODE_632_C_1_A,1.16570,0.67366,0.49204
TRIP_NODE_632_C_1_B,1.16570,0.67366,0.49204
TRIP_NODE_632_C_2_A,1.16570,0.67366,0.49204
TRIP_NODE_632_C_2_B,1.16570,0.67366,0.49204
TRIP_NODE_632_C_3_A,1.16570,0.67366,0.49204
TRIP_NODE_632_C_3_B,1.16570,0.67366,0.49204
TRIP_NODE_632_C_4_A,1.16570,0.67366,0.49204
TRIP_NODE_632_C_4_B,1.16570,0.67366,0.49204
TRIP_NODE_632_C_5_A,1.16570,0.67366,0.49204
