class.name.phs,ibase,idss,idiff
LINE.OL_633_A_XFMR_633_A_5.1,1.897,4.752,2.855
TRANSFORMER.XFMR_632_A_1.1,1.897,4.753,2.855
TRANSFORMER.XFMR_632_A_2.1,1.897,4.753,2.855
TRANSFORMER.XFMR_632_A_3.1,1.897,4.753,2.855
TRANSFORMER.XFMR_632_A_4.1,1.897,4.753,2.855
TRANSFORMER.XFMR_632_A_5.1,1.897,4.753,2.855
LINE.OL_632_A_XFMR_632_A_1.1,1.897,4.753,2.855
LINE.OL_632_A_XFMR_632_A_2.1,1.897,4.753,2.855
LINE.OL_632_A_XFMR_632_A_3.1,1.897,4.753,2.855
LINE.OL_632_A_XFMR_632_A_4.1,1.897,4.753,2.855
LINE.OL_632_A_XFMR_632_A_5.1,1.897,4.753,2.855
TRANSFORMER.XFMR_645_B_1.2,1.897,4.769,2.872
TRANSFORMER.XFMR_645_B_2.2,1.897,4.769,2.872
TRANSFORMER.XFMR_645_B_3.2,1.897,4.769,2.872
TRANSFORMER.XFMR_645_B_4.2,1.897,4.769,2.872
TRANSFORMER.XFMR_645_B_5.2,1.897,4.769,2.872
LINE.OL_645_B_XFMR_645_B_1.2,1.897,4.769,2.872
LINE.OL_645_B_XFMR_645_B_2.2,1.897,4.769,2.872
LINE.OL_645_B_XFMR_645_B_3.2,1.897,4.769,2.872
LINE.OL_645_B_XFMR_645_B_4.2,1.897,4.769,2.872
LINE.OL_645_B_XFMR_645_B_5.2,1.897,4.769,2.872
TRANSFORMER.XFMR_633_B_1.2,1.897,4.770,2.873
TRANSFORMER.XFMR_633_B_2.2,1.897,4.770,2.873
TRANSFORMER.XFMR_633_B_3.2,1.897,4.770,2.873
TRANSFORMER.XFMR_633_B_4.2,1.897,4.770,2.873
TRANSFORMER.XFMR_633_B_5.2,1.897,4.770,2.873
LINE.OL_633_B_XFMR_633_B_1.2,1.897,4.770,2.873
LINE.OL_633_B_XFMR_633_B_2.2,1.897,4.770,2.873
LINE.OL_633_B_XFMR_633_B_3.2,1.897,4.770,2.873
LINE.OL_633_B_XFMR_633_B_4.2,1.897,4.770,2.873
LINE.OL_633_B_XFMR_633_B_5.2,1.897,4.770,2.873
TRANSFORMER.XFMR_632_B_1.2,1.897,4.771,2.873
TRANSFORMER.XFMR_632_B_2.2,1.897,4.771,2.873
TRANSFORMER.XFMR_632_B_3.2,1.897,4.771,2.873
TRANSFORMER.XFMR_632_B_4.2,1.897,4.771,2.873
TRANSFORMER.XFMR_632_B_5.2,1.897,4.771,2.873
LINE.OL_632_B_XFMR_632_B_1.2,1.897,4.771,2.873
LINE.OL_632_B_XFMR_632_B_2.2,1.897,4.771,2.873
LINE.OL_632_B_XFMR_632_B_3.2,1.897,4.771,2.873
LINE.OL_632_B_XFMR_632_B_4.2,1.897,4.771,2.873
LINE.OL_632_B_XFMR_632_B_5.2,1.897,4.771,2.873
TRANSFORMER.XFMR_611_C_1.3,1.943,4.833,2.889
TRANSFORMER.XFMR_611_C_2.3,1.943,4.833,2.889
TRANSFORMER.XFMR_611_C_3.3,1.943,4.833,2.889
TRANSFORMER.XFMR_611_C_4.3,1.943,4.833,2.889
TRANSFORMER.XFMR_611_C_5.3,1.943,4.833,2.889
LINE.OL_611_C_XFMR_611_C_1.3,1.943,4.833,2.889
LINE.OL_611_C_XFMR_611_C_2.3,1.943,4.833,2.889
LINE.OL_611_C_XFMR_611_C_3.3,1.943,4.833,2.889
LINE.OL_611_C_XFMR_611_C_4.3,1.943,4.833,2.889
LINE.OL_611_C_XFMR_611_C_5.3,1.943,4.833,2.889
TRANSFORMER.XFMR_684_C_1.3,1.943,4.833,2.889
TRANSFORMER.XFMR_684_C_2.3,1.943,4.833,2.889
TRANSFORMER.XFMR_684_C_3.3,1.943,4.833,2.889
TRANSFORMER.XFMR_684_C_4.3,1.943,4.833,2.889
TRANSFORMER.XFMR_684_C_5.3,1.943,4.833,2.889
LINE.OL_684_C_XFMR_684_C_1.3,1.943,4.833,2.889
LINE.OL_684_C_XFMR_684_C_2.3,1.943,4.833,2.889
LINE.OL_684_C_XFMR_684_C_3.3,1.943,4.833,2.889
LINE.OL_684_C_XFMR_684_C_4.3,1.943,4.833,2.889
LINE.OL_684_C_XFMR_684_C_5.3,1.943,4.833,2.889
TRANSFORMER.XFMR_680_C_1.3,1.944,4.833,2.890
TRANSFORMER.XFMR_680_C_2.3,1.944,4.833,2.890
TRANSFORMER.XFMR_680_C_3.3,1.944,4.833,2.890
TRANSFORMER.XFMR_680_C_4.3,1.944,4.833,2.890
TRANSFORMER.XFMR_680_C_5.3,1.944,4.833,2.890
LINE.OL_680_C_XFMR_680_C_1.3,1.944,4.833,2.890
LINE.OL_680_C_XFMR_680_C_2.3,1.944,4.833,2.890
LINE.OL_680_C_XFMR_680_C_3.3,1.944,4.833,2.890
LINE.OL_680_C_XFMR_680_C_4.3,1.944,4.833,2.890
LINE.OL_680_C_XFMR_680_C_5.3,1.944,4.833,2.890
TRANSFORMER.XFMR_692_C_1.3,1.944,4.834,2.890
TRANSFORMER.XFMR_692_C_2.3,1.944,4.834,2.890
TRANSFORMER.XFMR_692_C_3.3,1.944,4.834,2.890
TRANSFORMER.XFMR_692_C_4.3,1.944,4.834,2.890
TRANSFORMER.XFMR_692_C_5.3,1.944,4.834,2.890
LINE.OL_692_C_XFMR_692_C_1.3,1.944,4.834,2.890
LINE.OL_692_C_XFMR_692_C_2.3,1.944,4.834,2.890
LINE.OL_692_C_XFMR_692_C_3.3,1.944,4.834,2.890
LINE.OL_692_C_XFMR_692_C_4.3,1.944,4.834,2.890
LINE.OL_692_C_XFMR_692_C_5.3,1.944,4.834,2.890
TRANSFORMER.XFMR_671_C_1.3,1.944,4.834,2.891
TRANSFORMER.XFMR_671_C_2.3,1.944,4.834,2.891
TRANSFORMER.XFMR_671_C_3.3,1.944,4.834,2.891
TRANSFORMER.XFMR_671_C_4.3,1.944,4.834,2.891
TRANSFORMER.XFMR_671_C_5.3,1.944,4.834,2.891
LINE.OL_671_C_XFMR_671_C_1.3,1.944,4.834,2.891
LINE.OL_671_C_XFMR_671_C_2.3,1.944,4.834,2.891
LINE.OL_671_C_XFMR_671_C_3.3,1.944,4.834,2.891
LINE.OL_671_C_XFMR_671_C_4.3,1.944,4.834,2.891
LINE.OL_671_C_XFMR_671_C_5.3,1.944,4.834,2.891
TRANSFORMER.XFMR_680_A_1.1,1.941,4.840,2.899
TRANSFORMER.XFMR_680_A_2.1,1.941,4.840,2.899
TRANSFORMER.XFMR_680_A_3.1,1.941,4.840,2.899
TRANSFORMER.XFMR_680_A_4.1,1.941,4.840,2.899
TRANSFORMER.XFMR_680_A_5.1,1.941,4.840,2.899
LINE.OL_680_A_XFMR_680_A_1.1,1.941,4.840,2.899
LINE.OL_680_A_XFMR_680_A_2.1,1.941,4.840,2.899
LINE.OL_680_A_XFMR_680_A_3.1,1.941,4.840,2.899
LINE.OL_680_A_XFMR_680_A_4.1,1.941,4.840,2.899
LINE.OL_680_A_XFMR_680_A_5.1,1.941,4.840,2.899
TRANSFORMER.XFMR_692_A_1.1,1.942,4.841,2.900
TRANSFORMER.XFMR_692_A_2.1,1.942,4.841,2.900
TRANSFORMER.XFMR_692_A_3.1,1.942,4.841,2.900
TRANSFORMER.XFMR_692_A_4.1,1.942,4.841,2.900
TRANSFORMER.XFMR_692_A_5.1,1.942,4.841,2.900
LINE.OL_692_A_XFMR_692_A_1.1,1.942,4.841,2.900
LINE.OL_692_A_XFMR_692_A_2.1,1.942,4.841,2.900
LINE.OL_692_A_XFMR_692_A_3.1,1.942,4.841,2.900
LINE.OL_692_A_XFMR_692_A_4.1,1.942,4.841,2.900
LINE.OL_692_A_XFMR_692_A_5.1,1.942,4.841,2.900
TRANSFORMER.XFMR_652_A_1.1,1.941,4.841,2.900
TRANSFORMER.XFMR_652_A_2.1,1.941,4.841,2.900
TRANSFORMER.XFMR_652_A_3.1,1.941,4.841,2.900
TRANSFORMER.XFMR_652_A_4.1,1.941,4.841,2.900
TRANSFORMER.XFMR_652_A_5.1,1.941,4.841,2.900
LINE.OL_652_A_XFMR_652_A_1.1,1.941,4.841,2.900
LINE.OL_652_A_XFMR_652_A_2.1,1.941,4.841,2.900
LINE.OL_652_A_XFMR_652_A_3.1,1.941,4.841,2.900
LINE.OL_652_A_XFMR_652_A_4.1,1.941,4.841,2.900
LINE.OL_652_A_XFMR_652_A_5.1,1.941,4.841,2.900
TRANSFORMER.XFMR_684_A_1.1,1.941,4.841,2.900
TRANSFORMER.XFMR_684_A_2.1,1.941,4.841,2.900
TRANSFORMER.XFMR_684_A_3.1,1.941,4.841,2.900
TRANSFORMER.XFMR_684_A_4.1,1.941,4.841,2.900
TRANSFORMER.XFMR_684_A_5.1,1.941,4.841,2.900
LINE.OL_684_A_XFMR_684_A_1.1,1.941,4.841,2.900
LINE.OL_684_A_XFMR_684_A_2.1,1.941,4.841,2.900
LINE.OL_684_A_XFMR_684_A_3.1,1.941,4.841,2.900
LINE.OL_684_A_XFMR_684_A_4.1,1.941,4.841,2.900
LINE.OL_684_A_XFMR_684_A_5.1,1.941,4.841,2.900
TRANSFORMER.XFMR_671_A_1.1,1.941,4.841,2.900
TRANSFORMER.XFMR_671_A_2.1,1.941,4.841,2.900
TRANSFORMER.XFMR_671_A_3.1,1.941,4.841,2.900
TRANSFORMER.XFMR_671_A_4.1,1.941,4.841,2.900
TRANSFORMER.XFMR_671_A_5.1,1.941,4.841,2.900
LINE.OL_671_A_XFMR_671_A_1.1,1.941,4.841,2.900
LINE.OL_671_A_XFMR_671_A_2.1,1.941,4.841,2.900
LINE.OL_671_A_XFMR_671_A_3.1,1.941,4.841,2.900
LINE.OL_671_A_XFMR_671_A_4.1,1.941,4.841,2.900
LINE.OL_671_A_XFMR_671_A_5.1,1.941,4.841,2.900
TRANSFORMER.XFMR_675_C_1.3,1.956,4.860,2.904
TRANSFORMER.XFMR_675_C_2.3,1.956,4.860,2.904
TRANSFORMER.XFMR_675_C_3.3,1.956,4.860,2.904
TRANSFORMER.XFMR_675_C_4.3,1.956,4.860,2.904
TRANSFORMER.XFMR_675_C_5.3,1.956,4.860,2.904
LINE.OL_675_C_XFMR_675_C_1.3,1.956,4.860,2.904
LINE.OL_675_C_XFMR_675_C_2.3,1.956,4.860,2.904
LINE.OL_675_C_XFMR_675_C_3.3,1.956,4.860,2.904
LINE.OL_675_C_XFMR_675_C_4.3,1.956,4.860,2.904
LINE.OL_675_C_XFMR_675_C_5.3,1.956,4.860,2.904
TRANSFORMER.XFMR_675_A_1.1,1.953,4.866,2.913
TRANSFORMER.XFMR_675_A_2.1,1.953,4.866,2.913
TRANSFORMER.XFMR_675_A_3.1,1.953,4.866,2.913
TRANSFORMER.XFMR_675_A_4.1,1.953,4.866,2.913
TRANSFORMER.XFMR_675_A_5.1,1.953,4.866,2.913
LINE.OL_675_A_XFMR_675_A_1.1,1.953,4.866,2.913
LINE.OL_675_A_XFMR_675_A_2.1,1.953,4.866,2.913
LINE.OL_675_A_XFMR_675_A_3.1,1.953,4.866,2.913
LINE.OL_675_A_XFMR_675_A_4.1,1.953,4.866,2.913
LINE.OL_675_A_XFMR_675_A_5.1,1.953,4.866,2.913
TRANSFORMER.XFMR_680_B_1.2,1.940,4.862,2.923
TRANSFORMER.XFMR_680_B_2.2,1.940,4.862,2.923
TRANSFORMER.XFMR_680_B_3.2,1.940,4.862,2.923
TRANSFORMER.XFMR_680_B_4.2,1.940,4.862,2.923
TRANSFORMER.XFMR_680_B_5.2,1.940,4.862,2.923
LINE.OL_680_B_XFMR_680_B_1.2,1.940,4.862,2.923
LINE.OL_680_B_XFMR_680_B_2.2,1.940,4.862,2.923
LINE.OL_680_B_XFMR_680_B_3.2,1.940,4.862,2.923
LINE.OL_680_B_XFMR_680_B_4.2,1.940,4.862,2.923
LINE.OL_680_B_XFMR_680_B_5.2,1.940,4.862,2.923
TRANSFORMER.XFMR_692_B_1.2,1.941,4.863,2.923
TRANSFORMER.XFMR_692_B_2.2,1.941,4.863,2.923
TRANSFORMER.XFMR_692_B_3.2,1.941,4.863,2.923
TRANSFORMER.XFMR_692_B_4.2,1.941,4.863,2.923
TRANSFORMER.XFMR_692_B_5.2,1.941,4.863,2.923
LINE.OL_692_B_XFMR_692_B_1.2,1.941,4.863,2.923
LINE.OL_692_B_XFMR_692_B_2.2,1.941,4.863,2.923
LINE.OL_692_B_XFMR_692_B_3.2,1.941,4.863,2.923
LINE.OL_692_B_XFMR_692_B_4.2,1.941,4.863,2.923
LINE.OL_692_B_XFMR_692_B_5.2,1.941,4.863,2.923
TRANSFORMER.XFMR_671_B_1.2,1.940,4.863,2.923
TRANSFORMER.XFMR_671_B_2.2,1.940,4.863,2.923
TRANSFORMER.XFMR_671_B_3.2,1.940,4.863,2.923
TRANSFORMER.XFMR_671_B_4.2,1.940,4.863,2.923
TRANSFORMER.XFMR_671_B_5.2,1.940,4.863,2.923
LINE.OL_671_B_XFMR_671_B_1.2,1.940,4.863,2.923
LINE.OL_671_B_XFMR_671_B_2.2,1.940,4.863,2.923
LINE.OL_671_B_XFMR_671_B_3.2,1.940,4.863,2.923
LINE.OL_671_B_XFMR_671_B_4.2,1.940,4.863,2.923
LINE.OL_671_B_XFMR_671_B_5.2,1.940,4.863,2.923
TRANSFORMER.XFMR_675_B_1.2,1.951,4.887,2.936
TRANSFORMER.XFMR_675_B_2.2,1.951,4.887,2.936
TRANSFORMER.XFMR_675_B_3.2,1.951,4.887,2.936
TRANSFORMER.XFMR_675_B_4.2,1.951,4.887,2.936
TRANSFORMER.XFMR_675_B_5.2,1.951,4.887,2.936
LINE.OL_675_B_XFMR_675_B_1.2,1.951,4.887,2.936
LINE.OL_675_B_XFMR_675_B_2.2,1.951,4.887,2.936
LINE.OL_675_B_XFMR_675_B_3.2,1.951,4.887,2.936
LINE.OL_675_B_XFMR_675_B_4.2,1.951,4.887,2.936
LINE.OL_675_B_XFMR_675_B_5.2,1.951,4.887,2.936
LINE.UL692-675.2,532.835,529.755,3.080
CAPACITOR.CAP1.1,290.877,287.459,3.418
CAPACITOR.CAP2.3,242.719,239.230,3.489
LOAD.TRIP_LOAD_633_C_1.2,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_2.2,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_3.2,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_4.2,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_5.2,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_6.2,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_7.2,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_8.2,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_9.2,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_10.2,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_11.2,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_12.2,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_13.2,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_14.2,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_15.2,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_16.2,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_17.2,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_18.2,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_19.2,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_20.2,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_21.2,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_22.2,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_23.2,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_24.2,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_25.2,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_26.2,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_27.2,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_28.2,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_29.2,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_30.2,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_31.2,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_32.2,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_33.2,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_34.2,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_35.2,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_36.2,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_37.2,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_38.2,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_39.2,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_40.2,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_1.2,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_2.2,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_3.2,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_4.2,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_5.2,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_6.2,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_7.2,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_8.2,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_9.2,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_10.2,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_11.2,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_12.2,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_13.2,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_14.2,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_15.2,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_16.2,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_17.2,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_18.2,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_19.2,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_20.2,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_21.2,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_22.2,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_23.2,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_24.2,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_25.2,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_26.2,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_27.2,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_28.2,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_29.2,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_30.2,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_31.2,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_32.2,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_33.2,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_34.2,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_35.2,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_36.2,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_37.2,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_38.2,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_39.2,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_40.2,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_1.1,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_2.1,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_3.1,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_4.1,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_5.1,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_6.1,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_7.1,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_8.1,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_9.1,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_10.1,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_11.1,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_12.1,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_13.1,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_14.1,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_15.1,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_16.1,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_17.1,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_18.1,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_19.1,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_20.1,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_21.1,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_22.1,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_23.1,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_24.1,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_25.1,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_26.1,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_27.1,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_28.1,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_29.1,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_30.1,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_31.1,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_32.1,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_33.1,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_34.1,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_35.1,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_36.1,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_37.1,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_38.1,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_39.1,2.374,5.936,3.562
LOAD.TRIP_LOAD_633_C_40.1,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_1.1,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_2.1,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_3.1,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_4.1,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_5.1,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_6.1,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_7.1,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_8.1,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_9.1,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_10.1,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_11.1,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_12.1,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_13.1,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_14.1,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_15.1,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_16.1,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_17.1,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_18.1,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_19.1,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_20.1,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_21.1,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_22.1,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_23.1,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_24.1,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_25.1,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_26.1,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_27.1,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_28.1,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_29.1,2.374,5.936,3.562
LINE.TRIP_LINE_633_C_H_30.1,2.374,5.936,3.562
