class_name_phs,ibase,iglm,idiff
XF_XFMR_632_C_5_C,0.006,0.000,0.006
XF_XFMR_633_C_1_C,0.006,0.000,0.006
XF_XFMR_633_C_2_C,0.006,0.000,0.006
XF_XFMR_633_C_3_C,0.006,0.000,0.006
XF_XFMR_633_C_4_C,0.006,0.000,0.006
XF_XFMR_633_C_5_C,0.006,0.000,0.006
XF_XFMR_645_C_1_C,0.006,0.000,0.006
XF_XFMR_645_C_2_C,0.006,0.000,0.006
XF_XFMR_645_C_3_C,0.006,0.000,0.006
XF_XFMR_645_C_4_C,0.006,0.000,0.006
XF_XFMR_645_C_5_C,0.006,0.000,0.006
LINE_OL_671_B_XFMR_671_B_1_B,0.006,0.000,0.006
LINE_OL_671_B_XFMR_671_B_2_B,0.006,0.000,0.006
LINE_OL_671_B_XFMR_671_B_3_B,0.006,0.000,0.006
LINE_OL_671_B_XFMR_671_B_4_B,0.006,0.000,0.006
LINE_OL_671_B_XFMR_671_B_5_B,0.006,0.000,0.006
LINE_OL_680_B_XFMR_680_B_1_B,0.006,0.000,0.006
LINE_OL_680_B_XFMR_680_B_2_B,0.006,0.000,0.006
LINE_OL_680_B_XFMR_680_B_3_B,0.006,0.000,0.006
LINE_OL_680_B_XFMR_680_B_4_B,0.006,0.000,0.006
LINE_OL_680_B_XFMR_680_B_5_B,0.006,0.000,0.006
LINE_OL_692_B_XFMR_692_B_1_B,0.006,0.000,0.006
LINE_OL_692_B_XFMR_692_B_2_B,0.006,0.000,0.006
LINE_OL_692_B_XFMR_692_B_3_B,0.006,0.000,0.006
LINE_OL_692_B_XFMR_692_B_4_B,0.006,0.000,0.006
LINE_OL_692_B_XFMR_692_B_5_B,0.006,0.000,0.006
LINE_OL_652_A_XFMR_652_A_1_A,0.006,0.000,0.006
LINE_OL_652_A_XFMR_652_A_2_A,0.006,0.000,0.006
LINE_OL_652_A_XFMR_652_A_3_A,0.006,0.000,0.006
LINE_OL_652_A_XFMR_652_A_4_A,0.006,0.000,0.006
LINE_OL_652_A_XFMR_652_A_5_A,0.006,0.000,0.006
LINE_OL_671_A_XFMR_671_A_1_A,0.006,0.000,0.006
LINE_OL_671_A_XFMR_671_A_2_A,0.006,0.000,0.006
LINE_OL_671_A_XFMR_671_A_3_A,0.006,0.000,0.006
LINE_OL_671_A_XFMR_671_A_4_A,0.006,0.000,0.006
LINE_OL_671_A_XFMR_671_A_5_A,0.006,0.000,0.006
LINE_OL_680_A_XFMR_680_A_1_A,0.006,0.000,0.006
LINE_OL_680_A_XFMR_680_A_2_A,0.006,0.000,0.006
LINE_OL_680_A_XFMR_680_A_3_A,0.006,0.000,0.006
LINE_OL_680_A_XFMR_680_A_4_A,0.006,0.000,0.006
LINE_OL_680_A_XFMR_680_A_5_A,0.006,0.000,0.006
LINE_OL_684_A_XFMR_684_A_1_A,0.006,0.000,0.006
LINE_OL_684_A_XFMR_684_A_2_A,0.006,0.000,0.006
LINE_OL_684_A_XFMR_684_A_3_A,0.006,0.000,0.006
LINE_OL_684_A_XFMR_684_A_4_A,0.006,0.000,0.006
LINE_OL_684_A_XFMR_684_A_5_A,0.006,0.000,0.006
LINE_OL_692_A_XFMR_692_A_1_A,0.006,0.000,0.006
LINE_OL_692_A_XFMR_692_A_2_A,0.006,0.000,0.006
LINE_OL_692_A_XFMR_692_A_3_A,0.006,0.000,0.006
LINE_OL_692_A_XFMR_692_A_4_A,0.006,0.000,0.006
LINE_OL_692_A_XFMR_692_A_5_A,0.006,0.000,0.006
LINE_OL_675_B_XFMR_675_B_1_B,0.006,0.000,0.006
LINE_OL_675_B_XFMR_675_B_2_B,0.006,0.000,0.006
LINE_OL_675_B_XFMR_675_B_3_B,0.006,0.000,0.006
LINE_OL_675_B_XFMR_675_B_4_B,0.006,0.000,0.006
LINE_OL_675_B_XFMR_675_B_5_B,0.006,0.000,0.006
LINE_OL_611_C_XFMR_611_C_1_C,0.006,0.000,0.006
LINE_OL_611_C_XFMR_611_C_2_C,0.006,0.000,0.006
LINE_OL_611_C_XFMR_611_C_3_C,0.006,0.000,0.006
LINE_OL_611_C_XFMR_611_C_4_C,0.006,0.000,0.006
LINE_OL_611_C_XFMR_611_C_5_C,0.006,0.000,0.006
LINE_OL_680_C_XFMR_680_C_1_C,0.006,0.000,0.006
LINE_OL_680_C_XFMR_680_C_2_C,0.006,0.000,0.006
LINE_OL_680_C_XFMR_680_C_3_C,0.006,0.000,0.006
LINE_OL_680_C_XFMR_680_C_4_C,0.006,0.000,0.006
LINE_OL_680_C_XFMR_680_C_5_C,0.006,0.000,0.006
LINE_OL_671_C_XFMR_671_C_1_C,0.006,0.000,0.006
LINE_OL_671_C_XFMR_671_C_2_C,0.006,0.000,0.006
LINE_OL_671_C_XFMR_671_C_3_C,0.006,0.000,0.006
LINE_OL_671_C_XFMR_671_C_4_C,0.006,0.000,0.006
LINE_OL_671_C_XFMR_671_C_5_C,0.006,0.000,0.006
LINE_OL_684_C_XFMR_684_C_1_C,0.006,0.000,0.006
LINE_OL_684_C_XFMR_684_C_2_C,0.006,0.000,0.006
LINE_OL_684_C_XFMR_684_C_3_C,0.006,0.000,0.006
LINE_OL_684_C_XFMR_684_C_4_C,0.006,0.000,0.006
LINE_OL_684_C_XFMR_684_C_5_C,0.006,0.000,0.006
LINE_OL_692_C_XFMR_692_C_1_C,0.006,0.000,0.006
LINE_OL_692_C_XFMR_692_C_2_C,0.006,0.000,0.006
LINE_OL_692_C_XFMR_692_C_3_C,0.006,0.000,0.006
LINE_OL_692_C_XFMR_692_C_4_C,0.006,0.000,0.006
LINE_OL_692_C_XFMR_692_C_5_C,0.006,0.000,0.006
LINE_OL_675_A_XFMR_675_A_1_A,0.006,0.000,0.006
LINE_OL_675_A_XFMR_675_A_2_A,0.006,0.000,0.006
LINE_OL_675_A_XFMR_675_A_3_A,0.006,0.000,0.006
LINE_OL_675_A_XFMR_675_A_4_A,0.006,0.000,0.006
LINE_OL_675_A_XFMR_675_A_5_A,0.006,0.000,0.006
XF_XFMR_671_B_1_B,0.006,0.000,0.006
XF_XFMR_671_B_2_B,0.006,0.000,0.006
XF_XFMR_671_B_3_B,0.006,0.000,0.006
XF_XFMR_671_B_4_B,0.006,0.000,0.006
XF_XFMR_671_B_5_B,0.006,0.000,0.006
XF_XFMR_680_B_1_B,0.006,0.000,0.006
XF_XFMR_680_B_2_B,0.006,0.000,0.006
XF_XFMR_680_B_3_B,0.006,0.000,0.006
XF_XFMR_680_B_4_B,0.006,0.000,0.006
XF_XFMR_680_B_5_B,0.006,0.000,0.006
LINE_OL_675_C_XFMR_675_C_1_C,0.006,0.000,0.006
LINE_OL_675_C_XFMR_675_C_2_C,0.006,0.000,0.006
LINE_OL_675_C_XFMR_675_C_3_C,0.006,0.000,0.006
LINE_OL_675_C_XFMR_675_C_4_C,0.006,0.000,0.006
LINE_OL_675_C_XFMR_675_C_5_C,0.006,0.000,0.006
XF_XFMR_692_B_1_B,0.006,0.000,0.006
XF_XFMR_692_B_2_B,0.006,0.000,0.006
XF_XFMR_692_B_3_B,0.006,0.000,0.006
XF_XFMR_692_B_4_B,0.006,0.000,0.006
XF_XFMR_692_B_5_B,0.006,0.000,0.006
XF_XFMR_652_A_1_A,0.006,0.000,0.006
XF_XFMR_652_A_2_A,0.006,0.000,0.006
XF_XFMR_652_A_3_A,0.006,0.000,0.006
XF_XFMR_652_A_4_A,0.006,0.000,0.006
XF_XFMR_652_A_5_A,0.006,0.000,0.006
XF_XFMR_671_A_1_A,0.006,0.000,0.006
XF_XFMR_671_A_2_A,0.006,0.000,0.006
XF_XFMR_671_A_3_A,0.006,0.000,0.006
XF_XFMR_671_A_4_A,0.006,0.000,0.006
XF_XFMR_671_A_5_A,0.006,0.000,0.006
XF_XFMR_680_A_1_A,0.006,0.000,0.006
XF_XFMR_680_A_2_A,0.006,0.000,0.006
XF_XFMR_680_A_3_A,0.006,0.000,0.006
XF_XFMR_680_A_4_A,0.006,0.000,0.006
XF_XFMR_680_A_5_A,0.006,0.000,0.006
XF_XFMR_684_A_1_A,0.006,0.000,0.006
XF_XFMR_684_A_2_A,0.006,0.000,0.006
XF_XFMR_684_A_3_A,0.006,0.000,0.006
XF_XFMR_684_A_4_A,0.006,0.000,0.006
XF_XFMR_684_A_5_A,0.006,0.000,0.006
XF_XFMR_692_A_1_A,0.006,0.000,0.006
XF_XFMR_692_A_2_A,0.006,0.000,0.006
XF_XFMR_692_A_3_A,0.006,0.000,0.006
XF_XFMR_692_A_4_A,0.006,0.000,0.006
XF_XFMR_692_A_5_A,0.006,0.000,0.006
XF_XFMR_675_B_1_B,0.006,0.000,0.006
XF_XFMR_675_B_2_B,0.006,0.000,0.006
XF_XFMR_675_B_3_B,0.006,0.000,0.006
XF_XFMR_675_B_4_B,0.006,0.000,0.006
XF_XFMR_675_B_5_B,0.006,0.000,0.006
XF_XFMR_611_C_1_C,0.006,0.000,0.006
XF_XFMR_611_C_2_C,0.006,0.000,0.006
XF_XFMR_611_C_3_C,0.006,0.000,0.006
XF_XFMR_611_C_4_C,0.006,0.000,0.006
XF_XFMR_611_C_5_C,0.006,0.000,0.006
XF_XFMR_671_C_1_C,0.006,0.000,0.006
XF_XFMR_671_C_2_C,0.006,0.000,0.006
XF_XFMR_671_C_3_C,0.006,0.000,0.006
XF_XFMR_671_C_4_C,0.006,0.000,0.006
XF_XFMR_671_C_5_C,0.006,0.000,0.006
XF_XFMR_680_C_1_C,0.006,0.000,0.006
XF_XFMR_680_C_2_C,0.006,0.000,0.006
XF_XFMR_680_C_3_C,0.006,0.000,0.006
XF_XFMR_680_C_4_C,0.006,0.000,0.006
XF_XFMR_680_C_5_C,0.006,0.000,0.006
XF_XFMR_684_C_1_C,0.006,0.000,0.006
XF_XFMR_684_C_2_C,0.006,0.000,0.006
XF_XFMR_684_C_3_C,0.006,0.000,0.006
XF_XFMR_684_C_4_C,0.006,0.000,0.006
XF_XFMR_684_C_5_C,0.006,0.000,0.006
XF_XFMR_692_C_1_C,0.006,0.000,0.006
XF_XFMR_692_C_2_C,0.006,0.000,0.006
XF_XFMR_692_C_3_C,0.006,0.000,0.006
XF_XFMR_692_C_4_C,0.006,0.000,0.006
XF_XFMR_692_C_5_C,0.006,0.000,0.006
XF_XFMR_675_A_1_A,0.007,0.000,0.007
XF_XFMR_675_A_2_A,0.007,0.000,0.007
XF_XFMR_675_A_3_A,0.007,0.000,0.007
XF_XFMR_675_A_4_A,0.007,0.000,0.007
XF_XFMR_675_A_5_A,0.007,0.000,0.007
XF_XFMR_675_C_1_C,0.007,0.000,0.007
XF_XFMR_675_C_2_C,0.007,0.000,0.007
XF_XFMR_675_C_3_C,0.007,0.000,0.007
XF_XFMR_675_C_4_C,0.007,0.000,0.007
XF_XFMR_675_C_5_C,0.007,0.000,0.007
LINE_OL632-645_B,0.031,0.000,0.031
LINE_OL632-645_C,0.031,0.000,0.031
LINE_OL671-680_B,0.031,0.000,0.031
LINE_UL632-633_B,0.031,0.000,0.031
LINE_OL671-680_A,0.031,0.000,0.031
LINE_UL632-633_A,0.031,0.000,0.031
LINE_OL_632_B_B,0.031,0.000,0.031
LINE_OL_633_B_B,0.031,0.000,0.031
LINE_OL_645_B_B,0.031,0.000,0.031
LINE_OL_632_A_A,0.031,0.000,0.031
LINE_OL_633_A_A,0.031,0.000,0.031
LINE_UL632-633_C,0.031,0.000,0.031
LINE_OL671-680_C,0.031,0.000,0.031
LINE_OL_632_C_C,0.031,0.000,0.031
LINE_OL_633_C_C,0.031,0.000,0.031
LINE_OL_645_C_C,0.031,0.000,0.031
LINE_UL684-652_A,0.031,0.000,0.031
LINE_OL684-611_C,0.032,0.000,0.032
LINE_OL_680_B_B,0.032,0.000,0.032
LINE_OL_671_B_B,0.032,0.000,0.032
LINE_OL_692_B_B,0.032,0.000,0.032
LINE_OL_652_A_A,0.032,0.000,0.032
LINE_OL_671_A_A,0.032,0.000,0.032
LINE_OL_680_A_A,0.032,0.000,0.032
LINE_OL_684_A_A,0.032,0.000,0.032
LINE_OL_692_A_A,0.032,0.000,0.032
LINE_OL_675_B_B,0.032,0.000,0.032
LINE_OL_611_C_C,0.032,0.000,0.032
LINE_OL_680_C_C,0.032,0.000,0.032
LINE_OL_684_C_C,0.032,0.000,0.032
LINE_OL_671_C_C,0.032,0.000,0.032
LINE_OL_692_C_C,0.032,0.000,0.032
LINE_OL_675_A_A,0.032,0.000,0.032
LINE_OL_675_C_C,0.032,0.000,0.032
LINE_OL671-684_A,0.063,0.000,0.063
LINE_OL671-684_C,0.064,0.000,0.064
XF_SUB_A,12.232,1.160,11.072
XF_SUB_B,12.316,1.166,11.150
XF_SUB_C,12.371,1.171,11.200
REG_TRANS_N650-N630_B,339.189,32.124,307.065
REG_TRANS_N650-N630_A,340.376,32.230,308.146
REG_TRANS_N650-N630_C,341.388,32.310,309.078
LINE_OL630-632_B,534.480,28.912,505.568
LINE_OL6321-671_B,534.571,28.912,505.659
LINE_OL632-6321_B,534.572,28.912,505.660
SWT_S671-692_B,534.633,28.911,505.722
LINE_UL692-675_B,534.665,28.911,505.754
LINE_OL630-632_A,536.351,29.007,507.344
LINE_OL6321-671_A,536.411,29.007,507.404
LINE_OL632-6321_A,536.412,29.007,507.405
SWT_S671-692_A,536.536,29.007,507.529
LINE_UL692-675_A,536.568,29.007,507.561
LINE_OL630-632_C,537.946,29.079,508.867
LINE_OL6321-671_C,538.037,29.079,508.958
LINE_OL632-6321_C,538.038,29.079,508.959
SWT_S671-692_C,538.163,29.079,509.084
LINE_UL692-675_C,538.195,29.079,509.116
