Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"TRIP_LOAD_652_A_H_18", 0.12, 1,    81.5217,   26.5,    1.1767, 2,    81.5273, -153.5,    1.1767, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_19", 0.12, 1,    81.5217,   26.5,    1.1767, 2,    81.5273, -153.5,    1.1767, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_20", 0.12, 1,    81.5217,   26.5,    1.1767, 2,    81.5273, -153.5,    1.1767, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_21", 0.12, 1,    81.5217,   26.5,    1.1767, 2,    81.5273, -153.5,    1.1767, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_22", 0.12, 1,    81.5217,   26.5,    1.1767, 2,    81.5273, -153.5,    1.1767, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_23", 0.12, 1,    81.5217,   26.5,    1.1767, 2,    81.5273, -153.5,    1.1767, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_24", 0.12, 1,    81.5217,   26.5,    1.1767, 2,    81.5273, -153.5,    1.1767, 0, 0, 0, 0
"XFMR_METER_652_A_4", 2.4, 1,    1630.52,   26.5,    1.1767, 0, 0, 0, 0, 0, 0, 0, 0
"TRIP_NODE_652_A_4", 0.12, 1,    81.5259,   26.5,    1.1767, 2,    81.5259, -153.5,    1.1767, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_25", 0.12, 1,    81.5217,   26.5,    1.1767, 2,    81.5273, -153.5,    1.1767, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_26", 0.12, 1,    81.5217,   26.5,    1.1767, 2,    81.5273, -153.5,    1.1767, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_27", 0.12, 1,    81.5217,   26.5,    1.1767, 2,    81.5273, -153.5,    1.1767, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_28", 0.12, 1,    81.5217,   26.5,    1.1767, 2,    81.5273, -153.5,    1.1767, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_29", 0.12, 1,    81.5217,   26.5,    1.1767, 2,    81.5273, -153.5,    1.1767, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_30", 0.12, 1,    81.5217,   26.5,    1.1767, 2,    81.5273, -153.5,    1.1767, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_31", 0.12, 1,    81.5217,   26.5,    1.1767, 2,    81.5273, -153.5,    1.1767, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_32", 0.12, 1,    81.5217,   26.5,    1.1767, 2,    81.5273, -153.5,    1.1767, 0, 0, 0, 0
"XFMR_METER_652_A_5", 2.4, 1,    1630.52,   26.5,    1.1767, 0, 0, 0, 0, 0, 0, 0, 0
"TRIP_NODE_652_A_5", 0.12, 1,    81.5259,   26.5,    1.1767, 2,    81.5259, -153.5,    1.1767, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_33", 0.12, 1,    81.5217,   26.5,    1.1767, 2,    81.5273, -153.5,    1.1767, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_34", 0.12, 1,    81.5217,   26.5,    1.1767, 2,    81.5273, -153.5,    1.1767, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_35", 0.12, 1,    81.5217,   26.5,    1.1767, 2,    81.5273, -153.5,    1.1767, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_36", 0.12, 1,    81.5217,   26.5,    1.1767, 2,    81.5273, -153.5,    1.1767, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_37", 0.12, 1,    81.5217,   26.5,    1.1767, 2,    81.5273, -153.5,    1.1767, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_38", 0.12, 1,    81.5217,   26.5,    1.1767, 2,    81.5273, -153.5,    1.1767, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_39", 0.12, 1,    81.5217,   26.5,    1.1767, 2,    81.5273, -153.5,    1.1767, 0, 0, 0, 0
"TRIP_LOAD_652_A_H_40", 0.12, 1,    81.5217,   26.5,    1.1767, 2,    81.5273, -153.5,    1.1767, 0, 0, 0, 0
"XFMR_METER_611_C_1", 2.4, 3,    1651.51,  148.5,    1.1919, 0, 0, 0, 0, 0, 0, 0, 0
"TRIP_NODE_611_C_1", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 0, 0, 0, 0
"TRIP_LOAD_611_C_H_1", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_611_C_H_2", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_611_C_H_3", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_611_C_H_4", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_611_C_H_5", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_611_C_H_6", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_611_C_H_7", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_611_C_H_8", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"XFMR_METER_611_C_2", 2.4, 3,    1651.51,  148.5,    1.1919, 0, 0, 0, 0, 0, 0, 0, 0
"TRIP_NODE_611_C_2", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 0, 0, 0, 0
"TRIP_LOAD_611_C_H_9", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_611_C_H_10", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_611_C_H_11", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_611_C_H_12", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_611_C_H_13", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_611_C_H_14", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_611_C_H_15", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_611_C_H_16", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"XFMR_METER_611_C_3", 2.4, 3,    1651.51,  148.5,    1.1919, 0, 0, 0, 0, 0, 0, 0, 0
"TRIP_NODE_611_C_3", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 0, 0, 0, 0
"TRIP_LOAD_611_C_H_17", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_611_C_H_18", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_611_C_H_19", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_611_C_H_20", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_611_C_H_21", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_611_C_H_22", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_611_C_H_23", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_611_C_H_24", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"XFMR_METER_611_C_4", 2.4, 3,    1651.51,  148.5,    1.1919, 0, 0, 0, 0, 0, 0, 0, 0
"TRIP_NODE_611_C_4", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 0, 0, 0, 0
"TRIP_LOAD_611_C_H_25", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_611_C_H_26", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_611_C_H_27", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_611_C_H_28", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_611_C_H_29", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_611_C_H_30", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_611_C_H_31", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_611_C_H_32", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"XFMR_METER_611_C_5", 2.4, 3,    1651.51,  148.5,    1.1919, 0, 0, 0, 0, 0, 0, 0, 0
"TRIP_NODE_611_C_5", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 0, 0, 0, 0
"TRIP_LOAD_611_C_H_33", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_611_C_H_34", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_611_C_H_35", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_611_C_H_36", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_611_C_H_37", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_611_C_H_38", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_611_C_H_39", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_611_C_H_40", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"XFMR_METER_684_C_1", 2.4, 3,    1651.51,  148.5,    1.1919, 0, 0, 0, 0, 0, 0, 0, 0
"TRIP_NODE_684_C_1", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 0, 0, 0, 0
"TRIP_LOAD_684_C_H_1", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_684_C_H_2", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_684_C_H_3", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_684_C_H_4", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_684_C_H_5", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_684_C_H_6", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_684_C_H_7", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_684_C_H_8", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"XFMR_METER_684_C_2", 2.4, 3,    1651.51,  148.5,    1.1919, 0, 0, 0, 0, 0, 0, 0, 0
"TRIP_NODE_684_C_2", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 0, 0, 0, 0
"TRIP_LOAD_684_C_H_9", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_684_C_H_10", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_684_C_H_11", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_684_C_H_12", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_684_C_H_13", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_684_C_H_14", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_684_C_H_15", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_684_C_H_16", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"XFMR_METER_684_C_3", 2.4, 3,    1651.51,  148.5,    1.1919, 0, 0, 0, 0, 0, 0, 0, 0
"TRIP_NODE_684_C_3", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 0, 0, 0, 0
"TRIP_LOAD_684_C_H_17", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_684_C_H_18", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_684_C_H_19", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_684_C_H_20", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_684_C_H_21", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_684_C_H_22", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_684_C_H_23", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_684_C_H_24", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"XFMR_METER_684_C_4", 2.4, 3,    1651.51,  148.5,    1.1919, 0, 0, 0, 0, 0, 0, 0, 0
"TRIP_NODE_684_C_4", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 0, 0, 0, 0
"TRIP_LOAD_684_C_H_25", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_684_C_H_26", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_684_C_H_27", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_684_C_H_28", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_684_C_H_29", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_684_C_H_30", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_684_C_H_31", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_684_C_H_32", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"XFMR_METER_684_C_5", 2.4, 3,    1651.51,  148.5,    1.1919, 0, 0, 0, 0, 0, 0, 0, 0
"TRIP_NODE_684_C_5", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 0, 0, 0, 0
"TRIP_LOAD_684_C_H_33", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_684_C_H_34", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_684_C_H_35", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_684_C_H_36", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_684_C_H_37", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_684_C_H_38", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_684_C_H_39", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"TRIP_LOAD_684_C_H_40", 0.12, 1,    82.5757,  148.5,    1.1919, 2,    82.5757,  -31.5,    1.1919, 3,          0,    0.0,         0
"XFMR_METER_684_A_1", 2.4, 1,    1630.61,   26.5,    1.1768, 0, 0, 0, 0, 0, 0, 0, 0
"TRIP_NODE_684_A_1", 0.12, 1,    81.5304,   26.5,    1.1768, 2,    81.5304, -153.5,    1.1768, 0, 0, 0, 0
